Site,GID,YLD
BAU-Bhagalpur,GID9080879,4.036810354
BAU-Bhagalpur,GID9080932,4.736769565
BAU-Bhagalpur,GID9080962,4.087509082
BAU-Bhagalpur,GID9080991,4.642725327
BAU-Bhagalpur,GID9081027,3.933931384
BAU-Bhagalpur,GID9081135,4.14627998
BAU-Bhagalpur,GID9081219,3.936231686
BAU-Bhagalpur,GID9081220,4.340842281
BAU-Bhagalpur,GID9081342,4.634279218
BAU-Bhagalpur,GID9081348,4.815815312
BAU-Bhagalpur,GID9081386,5.016180459
BAU-Bhagalpur,GID9081392,4.39849461
BAU-Bhagalpur,GID9081405,4.395259919
BAU-Bhagalpur,GID9081454,3.798411783
BAU-Bhagalpur,GID9081861,4.40561972
BAU-Bhagalpur,GID9081985,4.874763317
BAU-Bhagalpur,GID9082028,4.333231742
BAU-Bhagalpur,GID9082264,4.408270525
BAU-Bhagalpur,GID9082396,4.156621514
BAU-Bhagalpur,GID9082740,4.768683781
BAU-Bhagalpur,GID9082815,4.346876713
BAU-Bhagalpur,GID9083043,3.98820132
BAU-Bhagalpur,GID9083135,4.93076364
BAU-Bhagalpur,GID9083219,4.717838058
BAU-Bhagalpur,GID9083240,4.593318623
BAU-Bhagalpur,GID9083563,4.45912928
BAU-Bhagalpur,GID9083568,4.282029166
BAU-Bhagalpur,GID9083570,4.409709567
BAU-Bhagalpur,GID9083575,4.371276984
BAU-Bhagalpur,GID9083713,4.513688537
BAU-Bhagalpur,GID9083716,4.38915535
BAU-Bhagalpur,GID9083790,4.214144425
BAU-Bhagalpur,GID9084091,5.157964589
BAU-Bhagalpur,GID9084189,4.792092235
BAU-Bhagalpur,GID9084226,4.838434657
BAU-Bhagalpur,GID9084364,4.716505278
BAU-Bhagalpur,GID9084655,4.848639444
BAU-Bhagalpur,GID9084657,3.942227769
BAU-Bhagalpur,GID9084814,4.106494763
BAU-Bhagalpur,GID9084833,4.396774177
BAU-Bhagalpur,GID9084856,4.111649516
BAU-Bhagalpur,GID9084970,4.621534674
BAU-Bhagalpur,GID9085537,5.183901298
